,details,prix,etat,marque,adresse,lien_image
10,MacBook Air m1 8/128,290 000 F Cfa,Venant,Apple,Yoff                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34ab5a934c50b0449a5442a15a1b885a/-/horizon-files-prod/ed/picture/qv4w6zn5/0f52ab993f87837b36a5adb36e6acc077c11ef10.jpg
11,MacBook Air m3 8/256,750 000 F Cfa,Neuf,Apple,Yoff                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fce14560f1541c72e973aa490c5985dd/-/horizon-files-prod/ed/picture/qde7pkz2/49b74718a42b08aeebb18de18e40d0e8a8209447.jpg
12,Ecran HP 24f – 23.8 pouces,139 998 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a4b62e68e957e4eb908cdf19f245e24/-/horizon-files-prod/ed/picture/qx94mk8/48a47aac6b07aabd98069c05d0624baa981b9ba2.jpg
13,HP ENVY 14 CORE I7 X360,594 900 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/936a31d428c33ba3f823f2cd8ae63db6/-/horizon-files-prod/ed/picture/q44nv49m/eec11542928229f926dd9879551502ed44b781c6.jpg
14,MacBook Air m1 8/128,290 000 F Cfa,Venant,Apple,Yoff                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34ab5a934c50b0449a5442a15a1b885a/-/horizon-files-prod/ed/picture/qv4w6zn5/0f52ab993f87837b36a5adb36e6acc077c11ef10.jpg
15,MacBook Air m3 8/256,750 000 F Cfa,Neuf,Apple,Yoff                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fce14560f1541c72e973aa490c5985dd/-/horizon-files-prod/ed/picture/qde7pkz2/49b74718a42b08aeebb18de18e40d0e8a8209447.jpg
16,MacBook 16pouce 2019 i7,485 000 F Cfa,Venant,Apple,Yoff                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e957693d0cbe72cafe6f6dc784a5026/-/horizon-files-prod/ed/picture/qq42e6pz/de17a1110bc31198fd12f36eca6956e9e30450f3.jpg
17,Ecran HP 24f – 23.8 pouces,139 998 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a4b62e68e957e4eb908cdf19f245e24/-/horizon-files-prod/ed/picture/qx94mk8/48a47aac6b07aabd98069c05d0624baa981b9ba2.jpg
18,HP ENVY 14 CORE I7 X360,594 900 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/936a31d428c33ba3f823f2cd8ae63db6/-/horizon-files-prod/ed/picture/q44nv49m/eec11542928229f926dd9879551502ed44b781c6.jpg
19,MacBook Air m1 8/128,290 000 F Cfa,Venant,Apple,Yoff                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34ab5a934c50b0449a5442a15a1b885a/-/horizon-files-prod/ed/picture/qv4w6zn5/0f52ab993f87837b36a5adb36e6acc077c11ef10.jpg
20,MacBook Air m3 8/256,750 000 F Cfa,Neuf,Apple,Yoff                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fce14560f1541c72e973aa490c5985dd/-/horizon-files-prod/ed/picture/qde7pkz2/49b74718a42b08aeebb18de18e40d0e8a8209447.jpg
21,MacBook 16pouce 2019 i7,485 000 F Cfa,Venant,Apple,Yoff                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e957693d0cbe72cafe6f6dc784a5026/-/horizon-files-prod/ed/picture/qq42e6pz/de17a1110bc31198fd12f36eca6956e9e30450f3.jpg
22,Ecran HP 24f – 23.8 pouces,139 998 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a4b62e68e957e4eb908cdf19f245e24/-/horizon-files-prod/ed/picture/qx94mk8/48a47aac6b07aabd98069c05d0624baa981b9ba2.jpg
